src_cde_id	match_cde_id_1	match_cde_id_2	match_cde_id_3	match_cde_id_4	match_cde_id_5	match_cde_id_6	match_cde_id_7	match_cde_id_8	match_cde_id_9	match_cde_id_10	match_cde_concept_text_1	match_cde_concept_text_2	match_cde_concept_text_3	match_cde_concept_text_4	match_cde_concept_text_5	match_cde_concept_text_6	match_cde_concept_text_7	match_cde_concept_text_8	match_cde_concept_text_9	match_cde_concept_text_10	match_distance_1	match_distance_2	match_distance_3	match_distance_4	match_distance_5	match_distance_6	match_distance_7	match_distance_8	match_distance_9	match_distance_10	match_position	is_match
15113234	5432595	2513762	2513761	16445062	15113234	3288187	3288185	3812633	3288188	3230417	LONGNAME:Nucleic Acid Absorbance at 260 And Absorbance at 280 DNA Purity Ratio Value|PREFERREDDEFINITION:Numeric value that represents the sample ratio of nucleic acid absorbance at 260 nm and 280 nm, used to determine a measure of DNA purity.|DEC_CONCEPTS:Nucleic Acids Absorbance at 260nm And Absorbance at 280nm DNA Purity Assessment Ratio	LONGNAME:Molecular Specimen Review Parameter Object Absorbance at 280nm java.lang.Double|PREFERREDDEFINITION:Relating to or produced by or consisting of molecules.:A sample or part of a thing, or of several things, taken to demonstrate or to determine the character of the whole, e.g. a substance, or portion of material obtained for use in testing, examination, or study; particularly, a preparation of tissue or bodily fluid taken for examination or diagnosis.:The act of appraisal, evaluation, or analysis.:Any factor that defines a system and determines (or limits) its performance._The quantity of 280nm light that is not transmitted through a substance or solution.  In nucleic acid chemistry, the ratio of absorbance of 280nm frequency to 260nm frequency light can be related to nucleic acid purity._Generic value domain for a primitive java datatype that is a Double-precision floating point number (64-bit IEEE 7540).|DEC_CONCEPTS:Molecular Specimen Review Parameter Absorbance at 280nm	LONGNAME:Molecular Specimen Review Parameter Object Absorbance at 260nm java.lang.Double|PREFERREDDEFINITION:Relating to or produced by or consisting of molecules.:A sample or part of a thing, or of several things, taken to demonstrate or to determine the character of the whole, e.g. a substance, or portion of material obtained for use in testing, examination, or study; particularly, a preparation of tissue or bodily fluid taken for examination or diagnosis.:The act of appraisal, evaluation, or analysis.:Any factor that defines a system and determines (or limits) its performance._The quantity of 260nm light that is not transmitted through a substance or solution.  In nucleic acid chemistry, this measure is proportional to the concentration of nucleic acid in solution._Generic value domain for a primitive java datatype that is a Double-precision floating point number (64-bit IEEE 7540).|DEC_CONCEPTS:Molecular Specimen Review Parameter Absorbance at 260nm	LONGNAME:Specimen A260 to A230 Ratio Percentage Value|PREFERREDDEFINITION:A number which captures the assessment of nucleic acid purity that is measured by determining the ratio of light absorbance of the nucleic acid sample at 260nm and 230nm respectively.|DEC_CONCEPTS:Biospecimen A260 to A230 Ratio	LONGNAME:Specimen A260 to A280 Ratio Float|PREFERREDDEFINITION:A decimal number assessing nucleic acid purity that is measured by the ratio of light absorbance of the nucleic acid sample at 260nm and 280nm respectively.|DEC_CONCEPTS:Biospecimen A260 to A280 Ratio	LONGNAME:Tissue Sample Normal Control Extracted DNA Concentration Value|PREFERREDDEFINITION:Number that represents the concentration of the normal control sample measured in micrograms per microliters.|DEC_CONCEPTS:Tissue Sample Normal Control Extract DNA Concentration	LONGNAME:Tissue Sample Normal Control Extracted DNA Quantity Value|PREFERREDDEFINITION:Number that represents the amount of the normal control sample measured in micrograms.|DEC_CONCEPTS:Tissue Sample Normal Control Extract DNA	LONGNAME:Tumor Tissue Extracted DNA Concentration Value|PREFERREDDEFINITION:Numeric value for the concentration of extracted DNA in the tumor tissue sample measured in micrograms per microliters.|DEC_CONCEPTS:Malignant Neoplasm Extract DNA Concentration	LONGNAME:Tissue Sample Normal Control Extracted DNA Volume Value|PREFERREDDEFINITION:Number that represents the volume of the normal control sample measured in microliters.|DEC_CONCEPTS:Tissue Sample Normal Control Extract DNA Volume	LONGNAME:Laboratory Procedure DNA Index Value|PREFERREDDEFINITION:The number that represents the ratio of the DNA content or chromosome number in a tumor sample compared to a normal diploid sample.   This metric is used to assay for hypodiploidy.|DEC_CONCEPTS:Laboratory Procedure DNA Index	0.004037320613861084	0.2280227541923523	0.24805933237075806	0.2874993681907654	0.32206135988235474	0.36930525302886963	0.38160133361816406	0.39098846912384033	0.39924490451812744	0.4071585536003113	5	1
6142508	6142508	3227034	7974930	6944738	3262748	6142465	4307975	7118818	6142506	3227043	LONGNAME:Molecular Analysis Amino Acid Change Text|PREFERREDDEFINITION:Alphanumeric value used to describe the amino acid change for a specific genetic variant.|DEC_CONCEPTS:Molecular Analysis Amino Acid Change	LONGNAME:Amino Acid Change Mutation Abnormality Present Lab Result Specify|PREFERREDDEFINITION:The free-text field to describe the amino acid change mutation abnormality that was present.|DEC_CONCEPTS:Amino Acid Change Mutation Abnormality Present	LONGNAME:Protein Sequence Change Identifier|PREFERREDDEFINITION:The string of characters used to identify the protein sequence change.|DEC_CONCEPTS:Amino Acid Sequence Change Identifier	LONGNAME:Amino Acids|PREFERREDDEFINITION:The outcome of the test or finding as originally received or collected.|DEC_CONCEPTS:Pharmacogenomics Findings Domain Original Result or Finding Amino Acid	LONGNAME:Paternal Amino Acid Change Mutation Abnormality Present Lab Result Specify|PREFERREDDEFINITION:The free-text field to describe the paternal amino acid change mutation abnormality that was present.|DEC_CONCEPTS:Paternal Amino Acid Change Mutation Abnormality Present	LONGNAME:Molecular Analysis Transcript Location Text|PREFERREDDEFINITION:Alphanumeric value used to describe the transcript of a specific genetic variant.|DEC_CONCEPTS:Molecular Analysis Transcript Location	LONGNAME:Previous Molecular Analysis Test Name|PREFERREDDEFINITION:Text term to identify a laboratory procedure using DNA/RNA analysis techniques that was performed prior to the current time or course of therapy.|DEC_CONCEPTS:Previous Molecular Analysis Laboratory Procedure	LONGNAME:Molecular Analysis Amino Acid Change Finding Status Indicator|PREFERREDDEFINITION:Information related to the status of the laboratory results for the molecular analysis amino acid change.|DEC_CONCEPTS:Molecular Analysis Amino Acid Change	LONGNAME:Molecular Analysis Locus Location Text|PREFERREDDEFINITION:Alphanumeric value used to describe the locus of a specific genetic variant.|DEC_CONCEPTS:Molecular Analysis Locus Location	LONGNAME:Amino Acid Change Mutation Abnormality Present  Indicator|PREFERREDDEFINITION:The indicator that describes whether or not an amino acid change mutation abnormality was present.|DEC_CONCEPTS:Amino Acid Change Mutation Abnormality Present	0.08582597970962524	0.182755708694458	0.18477827310562134	0.20707958936691284	0.2119879126548767	0.23764246702194214	0.23987865447998047	0.24172645807266235	0.24452394247055054	0.24462461471557617	1	1
3125302	3125302	16511630	6063560	3130344	6298260	2002150	6338308	3337055	2179631	5159874	LONGNAME:Common Terminology Criteria for Adverse Events Version 4.0 Low Level Term Name|PREFERREDDEFINITION:Text that represents the Common Terminology Criteria for Adverse Events low level term name for an adverse event.|DEC_CONCEPTS:Adverse Event Common Terminology Criteria for Adverse Events Term	LONGNAME:Common Terminology Criteria for Adverse Events Version 6.0 Low Level Term Name|PREFERREDDEFINITION:Text that represents the Common Terminology Criteria for Adverse Events low level term name for an adverse event.|DEC_CONCEPTS:Adverse Event Common Terminology Criteria for Adverse Events Term	LONGNAME:Common Terminology Criteria for Adverse Events Version 5.0 Low Level Term Name|PREFERREDDEFINITION:Text that represents the Common Terminology Criteria for Adverse Events low level term name for an adverse event.|DEC_CONCEPTS:Adverse Event Common Terminology Criteria for Adverse Events Term	LONGNAME:Common Terminology Criteria for Adverse Events Version 4.0 Low Level Term Other Specify Text|PREFERREDDEFINITION:A description of an adverse event that is not stated explicitly in the CTCAE v4.0 adverse event vocabulary.|DEC_CONCEPTS:Adverse Event Common Terminology Criteria for Adverse Events Term	LONGNAME:Baseline Abnormality Common Terminology Criteria for Adverse Events Version 5.0 Term Name|PREFERREDDEFINITION:Text that represents the Common Terminology Criteria for Adverse Events low level term name for an adverse event.|DEC_CONCEPTS:Patient Baseline Abnormality	LONGNAME:Common Terminology Criteria Adverse Event Term Code|PREFERREDDEFINITION:information related to CTC adverse event term.|DEC_CONCEPTS:Common Terminology Criteria for Adverse Events Term	LONGNAME:Adverse Event Reported Term|PREFERREDDEFINITION:The reported or pre-specified name of the adverse event.|DEC_CONCEPTS:Adverse Event Adverse Event Verbatim Description	LONGNAME:Baseline Abnormality Common Terminology Criteria for Adverse Events Version 4.0 Term Name|PREFERREDDEFINITION:Text term to describe the baseline abnormality using current Common Terminology Criteria for Adverse Events code.|DEC_CONCEPTS:Patient Baseline Abnormality	LONGNAME:Adverse Event Outcome Name|PREFERREDDEFINITION:The name that represents the outcome of an event.|DEC_CONCEPTS:Adverse Event Outcome	LONGNAME:Other Adverse Event Occurrence Specify Text|PREFERREDDEFINITION:The free-text field that describes another adverse event that occurred.|DEC_CONCEPTS:Other Adverse Event Occurrence	0.005922853946685791	0.016908645629882812	0.02162337303161621	0.06679379940032959	0.10630166530609131	0.12151360511779785	0.1401556134223938	0.14061212539672852	0.1558837890625	0.15634244680404663	1	1
2944515	2944515	14174536	3121487	2529682	3577273	13378566	13484700	2998092	6380328	14174542	LONGNAME:Adverse Event Severity Grade|PREFERREDDEFINITION:Numeric representation of the intensity/severity of an unfavorable and unintended sign (including an abnormal laboratory finding), symptom, syndrome, or disease, temporally associated with the use of a medical product or procedure, regardless of whether or not it is considered related to the product or procedure (attribution of unrelated, unlikely, possible, probable, or definite).|DEC_CONCEPTS:Adverse Event Severity/Intensity Scale for Adverse Events Severity Grade	LONGNAME:Adverse Event Occurrence Grade|PREFERREDDEFINITION:The intensity of an unfavorable, unintended consequence associated with a medical treatment, intervention, or procedure.|DEC_CONCEPTS:Adverse Event Occurrence	LONGNAME:Adverse Event Other Grade Text|PREFERREDDEFINITION:a single character text field to record datarelated to other position on a scale of intensity for any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, syndrome, or disease, temporally associated with the use of a medical product or procedure.|DEC_CONCEPTS:Adverse Event Other Grade	LONGNAME:Adverse Event No Assessment Text|PREFERREDDEFINITION:the text field to record the lack of assessment or evaluation of an adverse event, any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, syndrome, or disease, temporally associated with the use of a medical product or procedure, regardless of whether or not it is considered related to the product or procedure (attribution of unrelated, unlikely, possible, probable, or definite).|DEC_CONCEPTS:Adverse Event No Assessment	LONGNAME:Adverse Event Severe Adverse Event Grade Occurrence Yes No Indicator|PREFERREDDEFINITION:The yes/no indicator regarding information related to an adverse event experience that requires intensive therapeutic intervention and interrupts usual daily activities(Grade 3 CTCAEv4.0).|DEC_CONCEPTS:Adverse Event Severe Adverse Event Grade Occurrence	LONGNAME:Adverse Event Outcome|PREFERREDDEFINITION:The result of an evaluation to determine whether any unfavorable or unintended disease, sign, or symptom was temporally associated with the medical treatment or procedure.|DEC_CONCEPTS:Adverse Event Outcome	LONGNAME:Adverse Event Occurrence Type|PREFERREDDEFINITION:The unfavorable, unintended consequence associated with a medical treatment, intervention, or procedure.|DEC_CONCEPTS:Adverse Event Occurrence	LONGNAME:Adverse Event Grade Adverse Event Severity Grade|PREFERREDDEFINITION:Any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, syndrome, or disease, temporally associated with the use of a medical product or procedure, regardless of whether or not it is considered related to the product or procedure (attribution of unrelated, unlikely, possible, probable, or definite). The concept refers to events that could be medical product related, dose related, route related, patient related, caused by an interaction with another therapy or procedure, or caused by opioid initiation or dose escalation. The term also is referred to as an adverse experience. The old term Side Effect is retired and should not be used._A position on a scale of intensity or amount or quality._Any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, syndrome, or disease, temporally associated with the use of a medical product or procedure, regardless of whether or not it is considered related to the product or procedure (attribution of unrelated, unlikely, possible, probable, or definite). The concept refers to events that could be medical product related, dose related, route related, patient related, caused by an interaction with another therapy or procedure, or caused by opioid initiation or dose escalation. The term also is referred to as an adverse experience. The old term Side Effect is retired and should not be used._Severity; used of the degree of something undesirable e.g. pain or weather._A position on a scale of intensity or amount or quality.|DEC_CONCEPTS:Adverse Event Grade	LONGNAME:Adverse Event Severity/Intensity|PREFERREDDEFINITION:The severity or intensity of the event.|DEC_CONCEPTS:Adverse Event Severity of Adverse Event	LONGNAME:Adverse Event Grading System Version Number|PREFERREDDEFINITION:The version of the classification system used to indicate the intensity of an unfavorable, unintended consequence associated with a medical treatment, intervention, or procedure.|DEC_CONCEPTS:Adverse Event Tumor Grading System	0.010897994041442871	0.09657740592956543	0.12489360570907593	0.12861299514770508	0.142849862575531	0.1429031491279602	0.14793074131011963	0.15049481391906738	0.15373367071151733	0.15650618076324463	1	1
10609539	3225640	7736623	3137947	6762857	4828691	2003852	7366686	15019300	3070934	14947877	LONGNAME:Patient Diagnosis Age Day Value|PREFERREDDEFINITION:Age at the time of diagnosis expressed in number of days since birth.|DEC_CONCEPTS:Person Diagnosis Assessment Age	LONGNAME:Derived Diagnosis Age Day Value|PREFERREDDEFINITION:The numeric value to represent the age of the individual on the day of diagnosis calculated in days.|DEC_CONCEPTS:Person Diagnosis Assessment Age	LONGNAME:Person Diagnosis Age Year Value|PREFERREDDEFINITION:Numeric value (or unknown) to represent a person's age in years at the time of diagnosis.|DEC_CONCEPTS:Person Diagnosis Assessment Age	LONGNAME:Person Diagnosis Age Value|PREFERREDDEFINITION:The answer to a question asking patient's age at diagnosis.|DEC_CONCEPTS:Person Diagnosis Assessment Age	LONGNAME:Person Diagnosis Age Value|PREFERREDDEFINITION:The numerical response indicating the age of a person, expressed in years, when they were diagnosed with a disease or disorder.|DEC_CONCEPTS:Person Diagnosis Assessment Age	LONGNAME:Patient Age Value|PREFERREDDEFINITION:Age at the time of study enrollment, expressed in number of years completed at the last birthday.|DEC_CONCEPTS:Patient Age	LONGNAME:Patient Age Day Count|PREFERREDDEFINITION:The patient's age in number of days.|DEC_CONCEPTS:Patient Age	LONGNAME:Subject Age in Days at Diagnosis Count|PREFERREDDEFINITION:The age in days of the subject at the time of diagnosis.|DEC_CONCEPTS:Study Subject Age in Days at Diagnosis	LONGNAME:Person Diagnosis Age Month Value|PREFERREDDEFINITION:Value to represent period of time (in months) from a person's birth to the procedure used to establish the disease/condition under investigation. (Note: Months rounded to nearest 0.25 years for patients under 5 years of age, rounded to nearest full year for patients more than 5 years of age.|DEC_CONCEPTS:Person Diagnosis Assessment Age	LONGNAME:Person Age Year Value|PREFERREDDEFINITION:The numeric response indicating the patients age in years.|DEC_CONCEPTS:Person Age-Years	0.025220930576324463	0.08837264776229858	0.10716903209686279	0.11558389663696289	0.12197470664978027	0.12330567836761475	0.12819713354110718	0.13462579250335693	0.1386963129043579	0.13971871137619019	0	0
6028530	6028530	6379572	13255910	2185960	2003852	7366685	6577323	14633274	3136488	7366686	LONGNAME:Patient Age at Index Value|PREFERREDDEFINITION:The patient's age (in years) on the reference or anchor date used during date obfuscation.|DEC_CONCEPTS:Patient Index Age-Years	LONGNAME:Patient Age on Index Date Day Value|PREFERREDDEFINITION:Numeric representation of the patient age on the index date expressed as number of days since birth.|DEC_CONCEPTS:Patient Age At Index Date	LONGNAME:Patient Age Identifier|PREFERREDDEFINITION:Range of patient's age.|DEC_CONCEPTS:Patient Age	LONGNAME:Patient Age Year Count|PREFERREDDEFINITION:the patient's age in number of years.|DEC_CONCEPTS:Patient Age	LONGNAME:Patient Age Value|PREFERREDDEFINITION:Age at the time of study enrollment, expressed in number of years completed at the last birthday.|DEC_CONCEPTS:Patient Age	LONGNAME:Patient Age Month Count|PREFERREDDEFINITION:The patient's age in number of months.|DEC_CONCEPTS:Patient Age	LONGNAME:Patient Age Month Value|PREFERREDDEFINITION:The response that indicates the patient's chronological age in months|DEC_CONCEPTS:Patient Age	LONGNAME:Patient Age Indicator|PREFERREDDEFINITION:The yes/no/unknown/not applicable indicator that asks questions pertaining to the participants age.|DEC_CONCEPTS:Patient Age	LONGNAME:Patient Age Range|PREFERREDDEFINITION:the range in numerical quantity related to patient age.|DEC_CONCEPTS:Patient Age	LONGNAME:Patient Age Day Count|PREFERREDDEFINITION:The patient's age in number of days.|DEC_CONCEPTS:Patient Age	0.011829972267150879	0.08105522394180298	0.14775866270065308	0.15169775485992432	0.17020732164382935	0.1907343864440918	0.1932407021522522	0.19583719968795776	0.1973271369934082	0.197628915309906	1	1
14589582	16318640	12326607	5303151	16110081	14940634	2003852	14633274	16109656	14655187	14947895	LONGNAME:Subject Age in Days at Last Treatment Count|PREFERREDDEFINITION:The age in days of the subject at the time of their last treatment.|DEC_CONCEPTS:Study Subject Age in Days at Last Treatment	LONGNAME:Subject Age in Days at Adverse Event Resolution Count|PREFERREDDEFINITION:The age in days of the subject at adverse event resolution.|DEC_CONCEPTS:Study Subject Age in Days at Adverse Event Resolution	LONGNAME:Age at time of event|PREFERREDDEFINITION:The patient's age.|DEC_CONCEPTS:Age at time of event:Find:Pt:^Patient:Nom:AHRQ Unspecified Property	LONGNAME:Subject Age in Days at Other Treatment Count|PREFERREDDEFINITION:The age in days of the subject at their other treatment.|DEC_CONCEPTS:Study Subject Age in Days at Other Treatment	LONGNAME:Subject Age Follow-Up Integer|PREFERREDDEFINITION:Age of the subject at follow-up.|DEC_CONCEPTS:Study Subject Subject Age Follow-Up	LONGNAME:Patient Age Value|PREFERREDDEFINITION:Age at the time of study enrollment, expressed in number of years completed at the last birthday.|DEC_CONCEPTS:Patient Age	LONGNAME:Patient Age Indicator|PREFERREDDEFINITION:The yes/no/unknown/not applicable indicator that asks questions pertaining to the participants age.|DEC_CONCEPTS:Patient Age	LONGNAME:Subject Age in Days at Initial Treatment Count|PREFERREDDEFINITION:The age in days of the subject at their first treatment.|DEC_CONCEPTS:Study Subject Age in Days at Initial Treatment	LONGNAME:Inclusion/Exclusion Criteria Not Met Supplemental Qualifiers Dataset Study Protocol Age Criterion Participant Fulfill  Response Terminology Indicator|PREFERREDDEFINITION:The indicator that specifies if the participant meets study age range criteria or not.|DEC_CONCEPTS:Inclusion/Exclusion Criteria Not Met Supplemental Qualifiers Dataset Study Protocol Age Criterion Participant Fulfill	LONGNAME:Person Age Clinical Trial Eligibility Criteria Indicator|PREFERREDDEFINITION:An indicator whether or not the person's age meets protocol criteria.|DEC_CONCEPTS:Person Age	0.29516172409057617	0.3044246435165405	0.31316226720809937	0.3140713572502136	0.3170231580734253	0.3235411047935486	0.3238997459411621	0.32481181621551514	0.324889600276947	0.3293343782424927	0	0
15157256	13255910	2002741	14633274	14947877	2185960	2003852	14947895	6028530	5216291	3136488	LONGNAME:Patient Age Identifier|PREFERREDDEFINITION:Range of patient's age.|DEC_CONCEPTS:Patient Age	LONGNAME:Patient Age Ind-2|PREFERREDDEFINITION:the yes/no indicator that asks about the patient/participant's age.|DEC_CONCEPTS:Patient Age	LONGNAME:Patient Age Indicator|PREFERREDDEFINITION:The yes/no/unknown/not applicable indicator that asks questions pertaining to the participants age.|DEC_CONCEPTS:Patient Age	LONGNAME:Person Age Year Value|PREFERREDDEFINITION:The numeric response indicating the patients age in years.|DEC_CONCEPTS:Person Age-Years	LONGNAME:Patient Age Year Count|PREFERREDDEFINITION:the patient's age in number of years.|DEC_CONCEPTS:Patient Age	LONGNAME:Patient Age Value|PREFERREDDEFINITION:Age at the time of study enrollment, expressed in number of years completed at the last birthday.|DEC_CONCEPTS:Patient Age	LONGNAME:Person Age Clinical Trial Eligibility Criteria Indicator|PREFERREDDEFINITION:An indicator whether or not the person's age meets protocol criteria.|DEC_CONCEPTS:Person Age	LONGNAME:Patient Age at Index Value|PREFERREDDEFINITION:The patient's age (in years) on the reference or anchor date used during date obfuscation.|DEC_CONCEPTS:Patient Index Age-Years	LONGNAME:Patient Informed Consent Age Value|PREFERREDDEFINITION:The age of the candidate as of the date of consent.|DEC_CONCEPTS:Patient Informed Consent Age	LONGNAME:Patient Age Range|PREFERREDDEFINITION:the range in numerical quantity related to patient age.|DEC_CONCEPTS:Patient Age	0.25112539529800415	0.26529693603515625	0.26766437292099	0.2677217125892639	0.2723182439804077	0.2785373330116272	0.28301000595092773	0.2847304344177246	0.28521615266799927	0.28719961643218994	0	0
3440331	3440331	3440332	3045439	3436562	3419391	3440328	3436565	7736603	3419406	3286472	LONGNAME:Neoplasm American Joint Committee on Cancer Clinical Distant Metastasis M Stage|PREFERREDDEFINITION:Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.|DEC_CONCEPTS:Neoplasm Clinical M Category	LONGNAME:Neoplasm American Joint Committee on Cancer Clinical Group Stage|PREFERREDDEFINITION:Stage group determined from clinical information on the tumor (T), regional node (N) and metastases (M) and by grouping cases with similar prognosis for cancer.|DEC_CONCEPTS:Neoplasm Clinical Stage Grouping	LONGNAME:American Joint Committee on Cancer Metastasis Stage Code|PREFERREDDEFINITION:Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).|DEC_CONCEPTS:Disease or Disorder Metastasis Neoplasm Stage	LONGNAME:Prostate Cancer American Joint Committee on Cancer (AJCC) Edition 7 Clinical Distant Metastasis M Stage|PREFERREDDEFINITION:Extent of the distant metastasis for the prostate carcinoma based on evidence obtained from clinical assessment parameters determined prior to treatment.|DEC_CONCEPTS:Prostate Gland Neoplasm Clinical M Category	LONGNAME:Breast Cancer American Joint Committee on Cancer (AJCC) Edition 7 Clinical Distant Metastasis M Stage|PREFERREDDEFINITION:Extent of the distant metastasis for the breast carcinoma based on evidence obtained from clinical assessment parameters determined prior to treatment.|DEC_CONCEPTS:Breast Neoplasm Clinical M Category	LONGNAME:Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage|PREFERREDDEFINITION:Extent of the primary cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.|DEC_CONCEPTS:Neoplasm Clinical T Category	LONGNAME:Prostate Cancer American Joint Committee on Cancer (AJCC) Edition 7 Pathologic Distant Metastasis M Stage|PREFERREDDEFINITION:Extent of the distant metastasis for the prostate carcinoma based on evidence obtained from pathologic examination through completion of definitive surgery.|DEC_CONCEPTS:Prostate Gland Neoplasm Pathologic M Category	LONGNAME:Tumor Clinical M Stage|PREFERREDDEFINITION:The absence or presence of distant metastases from cancer as determined prior to treatment based on evidence obtained from clinical assessment parameters (physical examination, imaging, endoscopy, biopsy, surgical exploration, etc.).|DEC_CONCEPTS:Disease Response Domain Clinical M Category	LONGNAME:Breast Cancer American Joint Committee on Cancer (AJCC) Edition 7 Pathologic Distant Metastasis M Stage|PREFERREDDEFINITION:Extent of the distant metastasis for the breast carcinoma based on evidence obtained from pathologic examination through completion of definitive surgery.|DEC_CONCEPTS:Breast Neoplasm Pathologic M Category	LONGNAME:Stage Prognostic Factor Derived American Joint Committee on Cancer Integer::7 Edition Distant Metastasis Description Code|PREFERREDDEFINITION:This item is the derived AJCC M Descriptor staging element from coded fields using the CS algorithm. Effective for cases diagnosed 2010 or later.|DEC_CONCEPTS:Neoplasm Stage Prognostic Factor Derivation Metastasis	0.028077304363250732	0.13258963823318481	0.18506848812103271	0.2098783254623413	0.21999460458755493	0.22325891256332397	0.2260352373123169	0.22753620147705078	0.23022985458374023	0.2313683032989502	1	1
3440330	3440330	3065858	4986718	3045437	3655869	3440332	2688583	3436564	3419389	3745015	LONGNAME:Neoplasm American Joint Committee on Cancer Clinical Regional Lymph Node N Stage|PREFERREDDEFINITION:Extent of the regional lymph node involvement for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.|DEC_CONCEPTS:Neoplasm Clinical N Category	LONGNAME:American Joint Committee on Cancer Lymph Node Stage Code|PREFERREDDEFINITION:Code of pathological N (Nodal) to define the absence or presence and extent of cancer in the regional draining lymph nodes (N) using criteria established by the American Joint Committee on Cancer (AJCC).|DEC_CONCEPTS:Disease or Disorder Lymph Node Neoplasm Stage	LONGNAME:Neuroendocrine Tumor American Joint Committee on Cancer Clinical N Stage|PREFERREDDEFINITION:Extent of the regional lymph node involvement for the neuroendocrine tumor based on evidence obtained from clinical assessment parameters determined prior to treatment.|DEC_CONCEPTS:Neuroendocrine Neoplasm Clinical N Category	LONGNAME:American Joint Committee on Cancer Lymph Node Stage Code|PREFERREDDEFINITION:Code to represent the stage of cancer based on absence/presence  of disease in the lymph nodes (N stage), using criteria established by the American Joint Committee on Cancer (AJCC).|DEC_CONCEPTS:Disease or Disorder Lymph Node Neoplasm Stage	LONGNAME:Breast Cancer American Joint Committee on Cancer (AJCC) Edition 7 Pathologic Regional Lymph Node N Stage|PREFERREDDEFINITION:Extent of the regional lymph node involvement for the breast carcinoma based on evidence obtained from pathologic examination through completion of definitive surgery.|DEC_CONCEPTS:Breast Neoplasm Pathologic N Category	LONGNAME:Neoplasm American Joint Committee on Cancer Clinical Group Stage|PREFERREDDEFINITION:Stage group determined from clinical information on the tumor (T), regional node (N) and metastases (M) and by grouping cases with similar prognosis for cancer.|DEC_CONCEPTS:Neoplasm Clinical Stage Grouping	LONGNAME:Stage Prognostic Factor Collaborative Staging Lymph Node Stage Code|PREFERREDDEFINITION:Identifies the regional lymph nodes involved with cancer at the time of diagnosis.|DEC_CONCEPTS:Neoplasm Stage Prognostic Factor Collaborative Staging Lymph Node Neoplasm Stage	LONGNAME:Prostate Cancer American Joint Committee on Cancer (AJCC) Edition 7 Pathologic Regional Lymph Node N Stage|PREFERREDDEFINITION:Extent of the regional lymph node involvement for the prostate carcinoma based on evidence obtained from pathologic examination through completion of definitive surgery.|DEC_CONCEPTS:Prostate Gland Neoplasm Pathologic N Category	LONGNAME:Breast Cancer American Joint Committee on Cancer (AJCC) Edition 7 Clinical Regional Lymph Node N Stage|PREFERREDDEFINITION:Extent of the regional lymph node involvement for the breast carcinoma based on evidence obtained from clinical assessment parameters determined prior to treatment.|DEC_CONCEPTS:Breast Neoplasm Clinical N Category	LONGNAME:Lung Cancer American Joint Committee on Cancer (AJCC) Edition 7 Pathologic Regional Lymph Node N Stage|PREFERREDDEFINITION:Extent of the regional lymph node involvement for the lung carcinoma based on evidence obtained from pathologic examination through completion of definitive surgery.|DEC_CONCEPTS:Lung Neoplasm Pathologic N Category	0.01659989356994629	0.19242572784423828	0.21546226739883423	0.23132580518722534	0.23326289653778076	0.23484426736831665	0.23927122354507446	0.2397046685218811	0.2424498200416565	0.24268025159835815	1	1
