src_cde_id	match_cde_id_1	match_cde_id_2	match_cde_id_3	match_cde_id_4	match_cde_id_5	match_cde_id_6	match_cde_id_7	match_cde_id_8	match_cde_id_9	match_cde_id_10	match_cde_concept_text_1	match_cde_concept_text_2	match_cde_concept_text_3	match_cde_concept_text_4	match_cde_concept_text_5	match_cde_concept_text_6	match_cde_concept_text_7	match_cde_concept_text_8	match_cde_concept_text_9	match_cde_concept_text_10	match_distance_1	match_distance_2	match_distance_3	match_distance_4	match_distance_5	match_distance_6	match_distance_7	match_distance_8	match_distance_9	match_distance_10	match_position	is_match
15113234	5432595	2513761	2513762	2773462	2773455	2726169	3288187	2773457	2192516	3288188	Nucleic Acids Absorbance at 260nm And Absorbance at 280nm DNA Purity Assessment Ratio	Molecular Specimen Review Parameter Absorbance at 260nm	Molecular Specimen Review Parameter Absorbance at 280nm	Nucleic Acids Status	Nucleic Acids Description	DNA Methylation Status Average Measurement	Tissue Sample Normal Control Extract DNA Concentration	Nucleic Acids Identifier	DNA Medical Examination Assessment Parameter	Tissue Sample Normal Control Extract DNA Volume	0.15733104944229126	0.3760080933570862	0.3889696002006531	0.4489085078239441	0.45893096923828125	0.4672809839248657	0.4689982533454895	0.4780060052871704	0.47954756021499634	0.48412472009658813	0	0
6142508	7974930	2671953	2848488	2223883	2342470	2342581	2943352	2342589	2342577	2342613	Amino Acid Sequence Change Identifier	Amino Acid Sequence Change Identifier	Single Nucleotide Polymorphism Position Amino Acid Change Label	Amino Acid Sequence Identifier	Amino Acid Sequence Identifier	Amino Acid Sequence Variation Identifier	Amino Acid Sequence Database Name	Amino Acid Site Identifier	Amino Acid Sequence Difference Identifier	Uncertain Amino Acid Identifier	0.3614169955253601	0.3614169955253601	0.3949849009513855	0.40060073137283325	0.40060073137283325	0.402862012386322	0.4154018759727478	0.41911232471466064	0.42311418056488037	0.4243493676185608	0	0
3125302	2747937	2747969	2747939	2747936	2748021	2002150	3288	323	2721344	2998039	Common Terminology Criteria for Adverse Events Term Common Terminology Criteria for Adverse Events Term	Common Terminology Criteria for Adverse Events Name	Common Terminology Criteria for Adverse Events Term Grouping Common Terminology Criteria for Adverse Events Term	Common Terminology Criteria for Adverse Events Term Common Terminology Criteria for Adverse Events Code	Common Terminology Criteria for Adverse Events Category Name	Common Terminology Criteria for Adverse Events Term	Common Terminology Criteria for Adverse Events Term	Common Terminology Criteria for Adverse Events Term	Common Terminology Criteria for Adverse Events Term	Common Terminology Criteria for Adverse Events Term Identifier	0.16652685403823853	0.18266183137893677	0.19330942630767822	0.20599687099456787	0.2089756727218628	0.21054589748382568	0.21054589748382568	0.21054589748382568	0.21054589748382568	0.21309125423431396	0	0
2944515	5606755	2998033	2998059	2005413	2998119	3008	3009	2998039	2747969	2006119	Common Terminology Criteria for Adverse Events Grade Description	Common Terminology Criteria for Adverse Events Severity/Intensity Scale for Adverse Events Severity Grade Grade	Common Terminology Criteria for Adverse Events Identifier	Common Terminology Criteria for Adverse Events Acute Description	Common Terminology Criteria for Adverse Events Category Identifier	Common Terminology Criteria for Adverse Events Report	Common Terminology Criteria for Adverse Events Report	Common Terminology Criteria for Adverse Events Term Identifier	Common Terminology Criteria for Adverse Events Name	Common Terminology Criteria for Adverse Events Classification	0.20278394222259521	0.2374742031097412	0.23929649591445923	0.24405437707901	0.25119394063949585	0.25205761194229126	0.25205761194229126	0.2572515606880188	0.25766521692276	0.25865888595581055	0	0
10609539	3008233	4828451	4828691	6762857	7992489	3137947	3070934	7736623	3225640	3134240	Person Birth Date Subtraction Diagnosis Assessment Time Duration	Person Diagnosis Assessment Age	Person Diagnosis Assessment Age	Person Diagnosis Assessment Age	Person Diagnosis Assessment Age	Person Diagnosis Assessment Age	Person Diagnosis Assessment Age	Person Diagnosis Assessment Age	Person Diagnosis Assessment Age	Clinical Diagnosis Identifier	0.44674116373062134	0.47020936012268066	0.47020936012268066	0.47020936012268066	0.47020936012268066	0.47020936012268066	0.47020936012268066	0.47020936012268066	0.47020936012268066	0.47318005561828613	0	0
6028530	6028530	6379572	2554489	2006895	5778759	2590109	2475690	2003301	2660022	5334274	Patient Index Age-Years	Patient Age At Index Date	Patient Identifier Identifier	Patient Identifier	Patient Identifier	Patient Identifier	Patient Identifier	Patient Identifier	Patient Identifier	Patient Identifier	0.30287784337997437	0.30419814586639404	0.45977944135665894	0.46217894554138184	0.46217894554138184	0.46217894554138184	0.46217894554138184	0.46217894554138184	0.46217894554138184	0.46217894554138184	1	1
14589582	14589582	16318640	12326607	12305768	14589579	10609539	16110081	12326604	12305794	16109656	Study Subject Age in Days at Exposure	Study Subject Age in Days at Last Treatment	Study Subject Age in Days at Adverse Event Resolution	Study Subject Age in Days at Last Known Survival Status	Study Subject Age in Days at Last Known Disease Status	Study Subject Age at Diagnosis	Study Subject Age in Days at Other Treatment	Study Subject Age in Days at Onset Adverse Event	Study Subject Age in Days When Lost to Follow-up	Study Subject Age in Days at Initial Treatment	0.40455305576324463	0.4074653387069702	0.4115312695503235	0.4182717800140381	0.4287042021751404	0.43360400199890137	0.4373762011528015	0.4399060010910034	0.4452235698699951	0.4458158016204834	1	1
15157256	3102059	3115820	7801528	16083330	3104501	6028530	3193334	2188049	5717700	4379766	Age Identifier	Patient Greater Age	Patient Age Eligibility Determination	Patient Age Eligibility Determination	Patient Age Eligibility Determination	Patient Index Age-Years	Patient Eligibility Determination Age	Common Terminology Criteria for Adverse Events Bone age Alteration	Patient Have Unspecified Property	Patient Age	0.4346025586128235	0.4601815938949585	0.4618334174156189	0.4618334174156189	0.4618334174156189	0.46397238969802856	0.4681541323661804	0.47655242681503296	0.47879600524902344	0.4788830280303955	0	0
3440331	2783801	6597549	6029698	3287445	2688811	3287949	3287953	3287444	3271595	3287446	Distant Metastasis Metastasis Neoplasm Stage	Distant Metastasis Clinical M Category	Neoplasm Stage Prognostic Factor Derivation Surveillance, Epidemiology, and End Results Program Combined Distant Metastasis Neoplasm Stage	Neoplasm Stage Prognostic Factor Collaborative Staging Metastasis Site	Neoplasm Stage Prognostic Factor Collaborative Staging Metastasis Site	Neoplasm Stage Prognostic Factor Collaborative Staging Metastasis Site	Neoplasm Stage Prognostic Factor Collaborative Staging Metastasis Site	Neoplasm Stage Prognostic Factor Collaborative Staging Metastasis Site	Neoplasm Stage Prognostic Factor Collaborative Staging Metastasis Site	Neoplasm Stage Prognostic Factor Collaborative Staging Metastasis Site	0.24536657333374023	0.2622411847114563	0.29874730110168457	0.30403488874435425	0.30403488874435425	0.30403488874435425	0.30403488874435425	0.30403488874435425	0.30403488874435425	0.30403488874435425	0	0
3440330	2783757	3287959	2688806	6430481	2688583	3287947	3287952	6029634	2688184	4925383	Regional Lymph Node Neoplasm Stage	Neoplasm Stage Prognostic Factor Collaborative Staging Regional Lymph Node	Neoplasm Stage Prognostic Factor Collaborative Staging Regional Lymph Node	Malignant Neoplasm Regional Lymph Node Disease Response	Neoplasm Stage Prognostic Factor Collaborative Staging Lymph Node Neoplasm Stage	Neoplasm Stage Prognostic Factor Collaborative Staging Lymph Node Neoplasm Stage	Neoplasm Stage Prognostic Factor Collaborative Staging Lymph Node Neoplasm Stage	Neoplasm Stage Prognostic Factor Diagnosis Assessment Surveillance, Epidemiology, and End Results Program Regional Lymph Node Involvement	Neoplasm Stage Prognostic Factor Lymph Node Examined	Neoplasm Regional Lymph Node Excision	0.23112702369689941	0.23571676015853882	0.23571676015853882	0.26786988973617554	0.27596521377563477	0.27596521377563477	0.27596521377563477	0.2804691195487976	0.29007160663604736	0.29378682374954224	0	0
