src_cde_id	match_cde_id_1	match_cde_id_2	match_cde_id_3	match_cde_id_4	match_cde_id_5	match_cde_id_6	match_cde_id_7	match_cde_id_8	match_cde_id_9	match_cde_id_10	match_cde_concept_text_1	match_cde_concept_text_2	match_cde_concept_text_3	match_cde_concept_text_4	match_cde_concept_text_5	match_cde_concept_text_6	match_cde_concept_text_7	match_cde_concept_text_8	match_cde_concept_text_9	match_cde_concept_text_10	match_distance_1	match_distance_2	match_distance_3	match_distance_4	match_distance_5	match_distance_6	match_distance_7	match_distance_8	match_distance_9	match_distance_10	match_position	is_match
2003301	2939536	2001011	2006895	2388910	2551775	2179683	2584157	2003301	2660022	2553825	Patient Identifier	Patient Identifier	Patient Identifier	Patient Identifier	Patient Identifier	Patient Identifier	Patient Identifier	Patient Identifier	Patient Identifier	Patient Identifier	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8	1
2200604	15157375	3111444	14948210	14940577	15381345	15232270	15232268	14665558	16303408	15232269	Person Gender	Person Gender	Person Description Gender Identity	Person Description Gender Identity	Person Description Gender Identity	Person Gender Identity	Person Gender Identity	Person Gender Identity	Person Gender Identity	Person Gender Identity	0.22318768501281738	0.22318768501281738	0.24821984767913818	0.24821984767913818	0.24821984767913818	0.2607755661010742	0.2607755661010742	0.2607755661010742	0.2607755661010742	0.2607755661010742	0	0
2192199	2200286	5334775	2192199	7352980	2192205	3775996	2956195	3259368	6730753	15232255	Race Category	Race Category	Race Category	Race Category	Race Category	Race Category	Race Category	Race Category	Race Category	Person Race Category	0.21428722143173218	0.21428722143173218	0.21428722143173218	0.21428722143173218	0.21428722143173218	0.21428722143173218	0.21428722143173218	0.21428722143173218	0.21428722143173218	0.29682403802871704	3	1
2192217	3259369	5334774	7352860	15232265	15157366	14665559	15157385	15232261	15157368	15232264	Ethnic Group Category	Ethnic Group Category	Ethnic Group Category	Person Ethnic Group Category	Person Ethnic Group Category	Person Ethnic Group Category	Person Ethnic Group Category	Person Ethnic Group Category	Person Ethnic Group Category	Person Ethnic Group Category	0.11325949430465698	0.11325949430465698	0.11325949430465698	0.20901542901992798	0.20901542901992798	0.20901542901992798	0.20901542901992798	0.20901542901992798	0.20901542901992798	0.20901542901992798	0	0
3225640	2660065	4828451	4828691	6762857	7992489	3137947	3070934	7736623	3225640	6379572	Demographics Patient Diagnosis Assessment Age	Person Diagnosis Assessment Age	Person Diagnosis Assessment Age	Person Diagnosis Assessment Age	Person Diagnosis Assessment Age	Person Diagnosis Assessment Age	Person Diagnosis Assessment Age	Person Diagnosis Assessment Age	Person Diagnosis Assessment Age	Patient Age At Index Date	0.28012704849243164	0.297660768032074	0.297660768032074	0.297660768032074	0.297660768032074	0.297660768032074	0.297660768032074	0.297660768032074	0.297660768032074	0.3016584515571594	9	1
3070936	3070936	3229334	2830235	6631711	3903149	3903150	16388632	14576972	2224405	2542374	Study End Point Event	Study End Point Event Occurrence	Experiment Event Type	Clinical Events Domain Clinical Events End Timepoint	Clinical Study End Point	Clinical Study End Point	Adverse Event Adverse Event End Timepoint	Study Subject Follow-Up Event	End Point Description	Patient Data Statistics End Point Analysis	0.09221857786178589	0.11148881912231445	0.38572657108306885	0.3980518579483032	0.4024577736854553	0.4024577736854553	0.4209595322608948	0.4365583658218384	0.4433484673500061	0.44337546825408936	1	1
3229334	3229334	3070936	3761157	2965017	6639440	2529075	15031938	6385408	3760759	6365746	Study End Point Event Occurrence	Study End Point Event	Adverse Event Outcome Assessment Observation Activity Performed Study Activity Study Day Range	Plan Occurrence Activity Occurrence Date	Clinical Events Domain Observation Start Day	Activity End Day Number	Last Event Occurrence	Adverse Event Performed Observation Activity Outcome Occurrence Date and Time Range	Adverse Event Performed Observation Activity Outcome Occurrence Date and Time Range	Adverse Event Performed Observation Activity Outcome Occurrence Date and Time Range	0.18233054876327515	0.2618037462234497	0.3890987038612366	0.41597795486450195	0.4195384383201599	0.42562878131866455	0.4303187131881714	0.4318639039993286	0.4318639039993286	0.4318639039993286	1	1
2847330	2553344	2847330	5914360	2985965	3225694	7976551	2006655	2190384	2193731	2193735	Participant Vital Status	Participant Vital Status	Participant Vital Status	Abstract Participant Vital Status	Patient Vital Status	Patient Vital Status	Patient Vital Status	Patient Vital Status	Patient Vital Status	Patient Vital Status	0.06540852785110474	0.06540852785110474	0.06540852785110474	0.11604076623916626	0.1636332869529724	0.1636332869529724	0.1636332869529724	0.1636332869529724	0.1636332869529724	0.1636332869529724	2	1
3226269	3226269	3008273	6943685	2467347	5116090	2897024	2004148	3197297	2004147	2182859	Diagnosis Assessment To Last Communication Contact Time Measurement	Last Communication Contact Subtraction Diagnosis Assessment Time Duration	Last Communication Contact Or Dead Subtraction First Pathologic Diagnosis Assessment Time Duration	Disease Progression Since Last Communication Contact	Most Recent Last Contact Person Subtraction First Pathologic Diagnosis Assessment Time Duration	Last Communication Contact Date	Last Communication Contact Date	Last Communication Contact Date	Last Communication Contact Date	Last Communication Contact Date	0.14268368482589722	0.20283114910125732	0.24409133195877075	0.3003271818161011	0.3044217824935913	0.35073012113571167	0.35073012113571167	0.35073012113571167	0.35073012113571167	0.35073012113571167	1	1
2896960	15157224	7736613	7736614	7736615	14664837	2608387	3101537	2799168	2608168	6841672	Study Subject Year of Diagnosis	Diagnosis Assessment Date	Diagnosis Assessment Date	Diagnosis Assessment Date	Diagnosis Assessment Date	Diagnosis Assessment Evaluation Date	Diagnosis Assessment Creation Date	Disease Screening Year	Diagnosis Assessment Confirmation Date	Personal Medical History Medical Condition Year of Onset	0.10167503356933594	0.21647721529006958	0.21647721529006958	0.21647721529006958	0.21647721529006958	0.25903236865997314	0.261793315410614	0.28804802894592285	0.2896312475204468	0.2899045944213867	0	0
4670951	15358170	3162397	2866759	4670951	2182855	2752583	2752581	2752582	2182857	2185707	Study Subject Year of Last Follow Up	Last Follow-Up Occurrence	Last Follow-Up Occurrence	Last Follow-Up Occurrence	Follow-Up Date	Long-term Follow-up Follow-Up Date	Long-term Follow-up Complete Date	Long-term Follow-up Dead Date	Off Follow-Up Date	Off Follow-Up Date	0.27420902252197266	0.2805156111717224	0.2805156111717224	0.2805156111717224	0.30782902240753174	0.3413883447647095	0.3585485816001892	0.38280051946640015	0.4003744125366211	0.4003744125366211	4	1
3070909	3070909	2465308	2422326	2422314	2223858	2002463	2002462	2433481	2608155	3760841	Clinical Trials Cooperative Group Identifier	Patient Multiple Clinical Trials Cooperative Group Identifier	Clinical Trials Cooperative Group Registering Institution Identifier	Clinical Trials Cooperative Group Treating Institution Identifier	Clinical Study Protocol Administration Code	Clinical Study Protocol Eastern Cooperative Oncology Group Identifier	Clinical Study Protocol Eastern Cooperative Oncology Group Identifier	Other Clinical Trials Cooperative Group Patient Enrollment	Clinical Study Protocol Sponsor Code	Study Protocol Version Therapeutic Area Code	0.1829567551612854	0.204628586769104	0.22986525297164917	0.24135547876358032	0.28028953075408936	0.2905347943305969	0.2905347943305969	0.2909718155860901	0.2930755019187927	0.31457221508026123	1	1
3438571	7063048	7063063	7063067	3478302	4903331	7118710	6059526	2179713	12284215	7748862	Metastatic Diagnosis Is Any Metastatic Diagnosis Present Question	Metastatic Diagnosis Surgical Procedure	Metastatic Diagnosis Residual Disease	Metastatic Disease or Disorder Present At Primary Diagnosis Assessment	Metastatic Disease or Disorder Present At Primary Diagnosis Assessment	Metastatic Diagnosis What is the First Presenting Symptom Related to Disease Question	Metastatic Lesion Present	Metastatic Disease or Disorder Initials Diagnosis Assessment	Metastatic Lesion Imaging Procedure Or Tissue Diagnosis Assessment Confirmation	Metastatic Diagnosis No Pathologic Evidence of Distant Metastasis Question	0.13248801231384277	0.15128326416015625	0.15866386890411377	0.17283761501312256	0.17283761501312256	0.18906861543655396	0.1898937225341797	0.20133596658706665	0.20480477809906006	0.2098625898361206	0	0
3438570	6119065	6119068	6119063	6931127	6119064	7063231	6847155	7653077	2970559	2961429	Metastasis Diagnosis Assessment	Metastasis Diagnosis Assessment	Metastasis Diagnosis Assessment	Metastasis Diagnosis Assessment	Metastasis Diagnosis Assessment	Pathologic Metastatic Diagnosis Specify Site if Documented Distant Metastasis	Clinical Metastatic Diagnosis Specify Site if Documented Distant Metastasis	Metastatic Diagnosis Specify Site if Documented Distant Metastasis	Metastasis Biopsy Site Confirmation	Metastasis Anatomic Site Present	0.17002207040786743	0.17002207040786743	0.17002207040786743	0.17002207040786743	0.17002207040786743	0.17494899034500122	0.17534106969833374	0.17541617155075073	0.18261444568634033	0.19146156311035156	0	0
